2021-07-06 13:52:29,026 [http-nio-8888-exec-10] INFO  com.example.Aop.AopConfig 30 - 方法开始调用前
2021-07-06 13:52:29,036 [http-nio-8888-exec-10] INFO  com.zaxxer.hikari.HikariDataSource 110 - HikariPool-1 - Starting...
2021-07-06 13:52:29,167 [http-nio-8888-exec-10] INFO  com.zaxxer.hikari.HikariDataSource 123 - HikariPool-1 - Start completed.
2021-07-06 13:52:29,251 [http-nio-8888-exec-10] INFO  com.example.Aop.AopConfig 41 - 方法开始调用之后
2021-07-06 13:52:29,251 [http-nio-8888-exec-10] INFO  com.example.Aop.AopConfig 59 - Around
2021-07-06 13:52:33,767 [http-nio-8888-exec-6] INFO  com.example.Aop.AopConfig 30 - 方法开始调用前
2021-07-06 13:52:33,771 [http-nio-8888-exec-6] INFO  com.example.Aop.AopConfig 41 - 方法开始调用之后
2021-07-06 13:52:33,772 [http-nio-8888-exec-6] INFO  com.example.Aop.AopConfig 59 - Around
2021-07-06 13:52:35,822 [http-nio-8888-exec-1] INFO  com.example.Aop.AopConfig 30 - 方法开始调用前
2021-07-06 13:52:35,825 [http-nio-8888-exec-1] INFO  com.example.Aop.AopConfig 41 - 方法开始调用之后
2021-07-06 13:52:35,825 [http-nio-8888-exec-1] INFO  com.example.Aop.AopConfig 59 - Around
2021-07-06 13:54:45,839 [http-nio-8888-exec-3] INFO  com.example.Aop.AopConfig 30 - 方法开始调用前
2021-07-06 13:54:45,882 [http-nio-8888-exec-3] INFO  com.example.Aop.AopConfig 41 - 方法开始调用之后
2021-07-06 13:54:45,882 [http-nio-8888-exec-3] INFO  com.example.Aop.AopConfig 59 - Around
2021-07-06 13:55:09,827 [main] INFO  com.example.MybatisplusApplication 55 - Starting MybatisplusApplication using Java 1.8.0_131 on WINDOWS-210RL8L with PID 7276 (D:\ideaworkspec\mybatisplus\target\classes started by ADMIN in D:\ideaworkspec\mybatisplus)
2021-07-06 13:55:09,829 [main] INFO  com.example.MybatisplusApplication 659 - No active profile set, falling back to default profiles: default
2021-07-06 13:55:10,828 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 262 - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-07-06 13:55:10,830 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 132 - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2021-07-06 13:55:10,852 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 201 - Finished Spring Data repository scanning in 9 ms. Found 0 Redis repository interfaces.
2021-07-06 13:55:10,964 [main] WARN  o.m.s.mapper.ClassPathMapperScanner 44 - Skipping MapperFactoryBean with name 'userMapper' and 'com.example.mapper.UserMapper' mapperInterface. Bean already defined with the same name!
2021-07-06 13:55:10,964 [main] WARN  o.m.s.mapper.ClassPathMapperScanner 44 - No MyBatis mapper was found in '[com.example]' package. Please check your configuration.
2021-07-06 13:55:11,518 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer 108 - Tomcat initialized with port(s): 8888 (http)
2021-07-06 13:55:11,525 [main] INFO  o.a.coyote.http11.Http11NioProtocol 173 - Initializing ProtocolHandler ["http-nio-8888"]
2021-07-06 13:55:11,526 [main] INFO  o.a.catalina.core.StandardService 173 - Starting service [Tomcat]
2021-07-06 13:55:11,526 [main] INFO  o.a.catalina.core.StandardEngine 173 - Starting Servlet engine: [Apache Tomcat/9.0.48]
2021-07-06 13:55:11,668 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] 173 - Initializing Spring embedded WebApplicationContext
2021-07-06 13:55:11,668 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext 290 - Root WebApplicationContext: initialization completed in 1800 ms
2021-07-06 13:55:13,549 [main] INFO  o.a.coyote.http11.Http11NioProtocol 173 - Starting ProtocolHandler ["http-nio-8888"]
2021-07-06 13:55:13,565 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer 220 - Tomcat started on port(s): 8888 (http) with context path ''
2021-07-06 13:55:13,684 [main] WARN  s.d.s.r.o.OperationImplicitParameterReader 170 - Unable to interpret the implicit parameter configuration with dataType: Long, dataTypeClass: class java.lang.Void
2021-07-06 13:55:13,708 [main] WARN  s.d.s.r.o.OperationImplicitParameterReader 170 - Unable to interpret the implicit parameter configuration with dataType: Integer, dataTypeClass: class java.lang.Void
2021-07-06 13:55:13,709 [main] WARN  s.d.s.r.o.OperationImplicitParameterReader 170 - Unable to interpret the implicit parameter configuration with dataType: Integer, dataTypeClass: class java.lang.Void
2021-07-06 13:55:13,713 [main] WARN  s.d.s.r.o.OperationImplicitParameterReader 170 - Unable to interpret the implicit parameter configuration with dataType: Long, dataTypeClass: class java.lang.Void
2021-07-06 13:55:13,725 [main] WARN  s.d.s.r.o.OperationImplicitParameterReader 170 - Unable to interpret the implicit parameter configuration with dataType: Long, dataTypeClass: class java.lang.Void
2021-07-06 13:55:13,725 [main] WARN  s.d.s.r.o.OperationImplicitParameterReader 170 - Unable to interpret the implicit parameter configuration with dataType: String, dataTypeClass: class java.lang.Void
2021-07-06 13:55:13,726 [main] WARN  s.d.s.r.o.OperationImplicitParameterReader 170 - Unable to interpret the implicit parameter configuration with dataType: Long, dataTypeClass: class java.lang.Void
2021-07-06 13:55:13,730 [main] WARN  s.d.s.r.o.OperationImplicitParameterReader 170 - Unable to interpret the implicit parameter configuration with dataType: Long, dataTypeClass: class java.lang.Void
2021-07-06 13:55:13,730 [main] WARN  s.d.s.r.o.OperationImplicitParameterReader 170 - Unable to interpret the implicit parameter configuration with dataType: String, dataTypeClass: class java.lang.Void
2021-07-06 13:55:13,731 [main] WARN  s.d.s.r.o.OperationImplicitParameterReader 170 - Unable to interpret the implicit parameter configuration with dataType: Long, dataTypeClass: class java.lang.Void
2021-07-06 13:55:13,753 [main] INFO  com.example.MybatisplusApplication 61 - Started MybatisplusApplication in 4.42 seconds (JVM running for 5.582)
2021-07-06 13:55:17,813 [http-nio-8888-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] 173 - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-07-06 13:55:17,814 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet 525 - Initializing Servlet 'dispatcherServlet'
2021-07-06 13:55:17,815 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet 547 - Completed initialization in 1 ms
2021-07-06 13:55:17,839 [http-nio-8888-exec-1] INFO  com.example.Aop.AopConfig 30 - 方法开始调用前
2021-07-06 13:55:17,861 [http-nio-8888-exec-1] INFO  com.zaxxer.hikari.HikariDataSource 110 - HikariPool-1 - Starting...
2021-07-06 13:55:17,974 [http-nio-8888-exec-1] INFO  com.zaxxer.hikari.HikariDataSource 123 - HikariPool-1 - Start completed.
2021-07-06 13:55:18,058 [http-nio-8888-exec-1] INFO  com.example.Aop.AopConfig 41 - 方法开始调用之后
2021-07-06 13:55:18,059 [http-nio-8888-exec-1] INFO  com.example.Aop.AopConfig 59 - Around
2021-07-06 13:56:26,495 [main] INFO  com.example.MybatisplusApplication 55 - Starting MybatisplusApplication using Java 1.8.0_131 on WINDOWS-210RL8L with PID 15608 (D:\ideaworkspec\mybatisplus\target\classes started by ADMIN in D:\ideaworkspec\mybatisplus)
2021-07-06 13:56:26,498 [main] INFO  com.example.MybatisplusApplication 659 - No active profile set, falling back to default profiles: default
2021-07-06 13:56:27,551 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 262 - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-07-06 13:56:27,553 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 132 - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2021-07-06 13:56:27,577 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 201 - Finished Spring Data repository scanning in 11 ms. Found 0 Redis repository interfaces.
2021-07-06 13:56:27,703 [main] WARN  o.m.s.mapper.ClassPathMapperScanner 44 - Skipping MapperFactoryBean with name 'userMapper' and 'com.example.mapper.UserMapper' mapperInterface. Bean already defined with the same name!
2021-07-06 13:56:27,704 [main] WARN  o.m.s.mapper.ClassPathMapperScanner 44 - No MyBatis mapper was found in '[com.example]' package. Please check your configuration.
2021-07-06 13:56:28,257 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer 108 - Tomcat initialized with port(s): 8888 (http)
2021-07-06 13:56:28,265 [main] INFO  o.a.coyote.http11.Http11NioProtocol 173 - Initializing ProtocolHandler ["http-nio-8888"]
2021-07-06 13:56:28,265 [main] INFO  o.a.catalina.core.StandardService 173 - Starting service [Tomcat]
2021-07-06 13:56:28,266 [main] INFO  o.a.catalina.core.StandardEngine 173 - Starting Servlet engine: [Apache Tomcat/9.0.48]
2021-07-06 13:56:28,389 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] 173 - Initializing Spring embedded WebApplicationContext
2021-07-06 13:56:28,389 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext 290 - Root WebApplicationContext: initialization completed in 1841 ms
2021-07-06 13:56:30,332 [main] INFO  o.a.coyote.http11.Http11NioProtocol 173 - Starting ProtocolHandler ["http-nio-8888"]
2021-07-06 13:56:30,348 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer 220 - Tomcat started on port(s): 8888 (http) with context path ''
2021-07-06 13:56:30,476 [main] WARN  s.d.s.r.o.OperationImplicitParameterReader 170 - Unable to interpret the implicit parameter configuration with dataType: Long, dataTypeClass: class java.lang.Void
2021-07-06 13:56:30,502 [main] WARN  s.d.s.r.o.OperationImplicitParameterReader 170 - Unable to interpret the implicit parameter configuration with dataType: Integer, dataTypeClass: class java.lang.Void
2021-07-06 13:56:30,502 [main] WARN  s.d.s.r.o.OperationImplicitParameterReader 170 - Unable to interpret the implicit parameter configuration with dataType: Integer, dataTypeClass: class java.lang.Void
2021-07-06 13:56:30,506 [main] WARN  s.d.s.r.o.OperationImplicitParameterReader 170 - Unable to interpret the implicit parameter configuration with dataType: Long, dataTypeClass: class java.lang.Void
2021-07-06 13:56:30,518 [main] WARN  s.d.s.r.o.OperationImplicitParameterReader 170 - Unable to interpret the implicit parameter configuration with dataType: Long, dataTypeClass: class java.lang.Void
2021-07-06 13:56:30,519 [main] WARN  s.d.s.r.o.OperationImplicitParameterReader 170 - Unable to interpret the implicit parameter configuration with dataType: String, dataTypeClass: class java.lang.Void
2021-07-06 13:56:30,519 [main] WARN  s.d.s.r.o.OperationImplicitParameterReader 170 - Unable to interpret the implicit parameter configuration with dataType: Long, dataTypeClass: class java.lang.Void
2021-07-06 13:56:30,523 [main] WARN  s.d.s.r.o.OperationImplicitParameterReader 170 - Unable to interpret the implicit parameter configuration with dataType: Long, dataTypeClass: class java.lang.Void
2021-07-06 13:56:30,523 [main] WARN  s.d.s.r.o.OperationImplicitParameterReader 170 - Unable to interpret the implicit parameter configuration with dataType: String, dataTypeClass: class java.lang.Void
2021-07-06 13:56:30,524 [main] WARN  s.d.s.r.o.OperationImplicitParameterReader 170 - Unable to interpret the implicit parameter configuration with dataType: Long, dataTypeClass: class java.lang.Void
2021-07-06 13:56:30,547 [main] INFO  com.example.MybatisplusApplication 61 - Started MybatisplusApplication in 4.56 seconds (JVM running for 5.877)
2021-07-06 13:56:57,366 [http-nio-8888-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] 173 - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-07-06 13:56:57,366 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet 525 - Initializing Servlet 'dispatcherServlet'
2021-07-06 13:56:57,368 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet 547 - Completed initialization in 2 ms
2021-07-06 13:57:01,599 [http-nio-8888-exec-6] INFO  com.example.Aop.AopConfig 30 - 方法开始调用前
2021-07-06 13:57:01,622 [http-nio-8888-exec-6] INFO  com.zaxxer.hikari.HikariDataSource 110 - HikariPool-1 - Starting...
2021-07-06 13:57:01,736 [http-nio-8888-exec-6] INFO  com.zaxxer.hikari.HikariDataSource 123 - HikariPool-1 - Start completed.
2021-07-06 13:57:01,815 [http-nio-8888-exec-6] INFO  com.example.Aop.AopConfig 41 - 方法开始调用之后
2021-07-06 13:57:01,816 [http-nio-8888-exec-6] INFO  com.example.Aop.AopConfig 59 - Around
2021-07-06 13:58:02,811 [main] INFO  com.example.MybatisplusApplication 55 - Starting MybatisplusApplication using Java 1.8.0_131 on WINDOWS-210RL8L with PID 14444 (D:\ideaworkspec\mybatisplus\target\classes started by ADMIN in D:\ideaworkspec\mybatisplus)
2021-07-06 13:58:02,814 [main] INFO  com.example.MybatisplusApplication 659 - No active profile set, falling back to default profiles: default
2021-07-06 13:58:03,733 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 262 - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-07-06 13:58:03,735 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 132 - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2021-07-06 13:58:03,758 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 201 - Finished Spring Data repository scanning in 10 ms. Found 0 Redis repository interfaces.
